bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003105		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q28613	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000024	20111213	PTPRO	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,renal filtration,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	negative regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003105		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q62797	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000024	20111216	PTPRO	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,renal filtration,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	negative regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003105		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q62797,ensembl:ENSRNOP00000044055	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000107	20250313	PTPRO	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,renal filtration,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	negative regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003093		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002931512,RGD:62068,MGI:MGI:1097152	PANTHER:PTHR47028	protein		GO_REF:0000033	20200214	PTPRO	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q14393	Growth arrest-specific protein 6		GO:0003104		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q63772	PANTHER:PTHR24040	protein	UniProtKB:Q14393	GO_REF:0000024	20120224	GAS6	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q14393	Growth arrest-specific protein 6		GO:0003104		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q63772,ensembl:ENSRNOP00000024677	PANTHER:PTHR24040	protein	UniProtKB:Q14393	GO_REF:0000107	20250313	GAS6	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P13498	Cytochrome b-245 light chain		GO:0003106		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q62737,ensembl:ENSRNOP00000017564	PANTHER:PTHR15168	protein	UniProtKB:P13498	GO_REF:0000107	20250313	CYBA	Homo sapiens	regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,negative regulation of biological process,regulation of systemic arterial blood pressure by hormone,circulatory system process,renal system process,negative regulation of glomerular filtration,regulation of blood volume by renin-angiotensin,negative regulation of glomerular filtration by angiotensin,system process,regulation of renal output by angiotensin,negative regulation of multicellular organismal process,regulation of body fluid levels,multicellular organismal process,biological regulation,biological_process,regulation of biological quality,regulation of systemic arterial blood pressure by renin-angiotensin,negative regulation of renal output by angiotensin,positive regulation of systemic arterial blood pressure,blood circulation,regulation of systemic arterial blood pressure mediated by a chemical signal,regulation of blood pressure,positive regulation of blood pressure,renal system process involved in regulation of blood volume,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,endocrine process	regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,negative regulation of biological process,regulation of systemic arterial blood pressure by hormone,circulatory system process,renal system process,negative regulation of glomerular filtration,regulation of blood volume by renin-angiotensin,negative regulation of glomerular filtration by angiotensin,system process,regulation of renal output by angiotensin,negative regulation of multicellular organismal process,regulation of body fluid levels,multicellular organismal process,biological regulation,biological_process,regulation of biological quality,regulation of systemic arterial blood pressure by renin-angiotensin,negative regulation of renal output by angiotensin,positive regulation of systemic arterial blood pressure,blood circulation,regulation of systemic arterial blood pressure mediated by a chemical signal,regulation of blood pressure,positive regulation of blood pressure,renal system process involved in regulation of blood volume,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,endocrine process	negative regulation of glomerular filtration by angiotensin			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:Q02928	Cytochrome P450 4A11		GO:0003095		UniProt	NCBITaxon:9606	IEP		PANTHER:PTHR24291	protein	UniProtKB:Q02928	PMID:10660572	20120127	CYP4A11	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,pressure natriuresis,regulation of systemic arterial blood pressure,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,renal system process involved in regulation of systemic arterial blood pressure,pressure natriuresis,regulation of systemic arterial blood pressure,blood circulation,regulation of blood pressure,circulatory system process,renal system process,system process,renal system process involved in regulation of blood volume,regulation of body fluid levels,multicellular organismal process	pressure natriuresis			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P25116	Proteinase-activated receptor 1		GO:0003105		UniProt	NCBITaxon:9606	ISS	UniProtKB:P26824	PANTHER:PTHR24232	protein	UniProtKB:P25116	GO_REF:0000024	20120210	F2R	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,renal filtration,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	negative regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P36382	Gap junction alpha-5 protein		GO:0003105		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P28234,ensembl:ENSRNOP00000023488	PANTHER:PTHR11984	protein	UniProtKB:P36382	GO_REF:0000107	20250313	GJA5	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,negative regulation of biological process,regulation of blood pressure,circulatory system process,renal system process,negative regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,renal filtration,negative regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	negative regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0003104		UniProt	NCBITaxon:9606	ISS	UniProtKB:P31240	PANTHER:PTHR11633	protein	UniProtKB:P01127	GO_REF:0000024	20110314	PDGFB	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P55085	Proteinase-activated receptor 2		GO:0003104		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q63645	PANTHER:PTHR24232	protein	UniProtKB:P55085	GO_REF:0000024	20120210	F2RL1	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
UniProtKB:P55085	Proteinase-activated receptor 2		GO:0003104		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q63645,ensembl:ENSRNOP00000058298	PANTHER:PTHR24232	protein	UniProtKB:P55085	GO_REF:0000107	20250313	F2RL1	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,regulation of glomerular filtration,renal system process involved in regulation of systemic arterial blood pressure,glomerular filtration,regulation of systemic arterial blood pressure,regulation of system process,blood circulation,regulation of blood pressure,circulatory system process,positive regulation of biological process,renal system process,positive regulation of glomerular filtration,system process,renal system process involved in regulation of blood volume,positive regulation of multicellular organismal process,renal filtration,regulation of body fluid levels,regulation of renal system process,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of glomerular filtration			renal_system_process_involved_in_regulation_of_blood_volume
